team1,team2,winner,margin,matchDate,match_id,title_winner,season
Super Kings,KKR,Super Kings,27 runs,"Oct 15, 2021",T203817,Super Kings,2021
Capitals,KKR,KKR,3 wickets,"Oct 13, 2021",T206442,,2021
RCB,KKR,KKR,4 wickets,"Oct 11, 2021",T208597,,2021
Capitals,Super Kings,Super Kings,4 wickets,"Oct 10, 2021",T201819,,2021
Capitals,RCB,RCB,7 wickets,"Oct 8, 2021",T205942,,2021
Mumbai,Sunrisers,Mumbai,42 runs,"Oct 8, 2021",T201979,,2021
KKR,Royals,KKR,86 runs,"Oct 7, 2021",T204179,,2021
Super Kings,Punjab Kings,Punjab Kings,6 wickets,"Oct 7, 2021",T201866,,2021
Sunrisers,RCB,Sunrisers,4 runs,"Oct 6, 2021",T209992,,2021
Royals,Mumbai,Mumbai,8 wickets,"Oct 5, 2021",T205599,,2021
Super Kings,Capitals,Capitals,3 wickets,"Oct 4, 2021",T207682,,2021
Sunrisers,KKR,KKR,6 wickets,"Oct 3, 2021",T207430,,2021
RCB,Punjab Kings,RCB,6 runs,"Oct 3, 2021",T207754,,2021
Super Kings,Royals,Royals,7 wickets,"Oct 2, 2021",T205672,,2021
Mumbai,Capitals,Capitals,4 wickets,"Oct 2, 2021",T209349,,2021
KKR,Punjab Kings,Punjab Kings,5 wickets,"Oct 1, 2021",T201051,,2021
Sunrisers,Super Kings,Super Kings,6 wickets,"Sep 30, 2021",T203061,,2021
Royals,RCB,RCB,7 wickets,"Sep 29, 2021",T204742,,2021
Punjab Kings,Mumbai,Mumbai,6 wickets,"Sep 28, 2021",T208262,,2021
Capitals,KKR,KKR,3 wickets,"Sep 28, 2021",T206700,,2021
Royals,Sunrisers,Sunrisers,7 wickets,"Sep 27, 2021",T206862,,2021
RCB,Mumbai,RCB,54 runs,"Sep 26, 2021",T203043,,2021
KKR,Super Kings,Super Kings,2 wickets,"Sep 26, 2021",T202406,,2021
Punjab Kings,Sunrisers,Punjab Kings,5 runs,"Sep 25, 2021",T203188,,2021
Capitals,Royals,Capitals,33 runs,"Sep 25, 2021",T202046,,2021
RCB,Super Kings,Super Kings,6 wickets,"Sep 24, 2021",T207776,,2021
Mumbai,KKR,KKR,7 wickets,"Sep 23, 2021",T202680,,2021
Sunrisers,Capitals,Capitals,8 wickets,"Sep 22, 2021",T204364,,2021
Royals,Punjab Kings,Royals,2 runs,"Sep 21, 2021",T207857,,2021
RCB,KKR,KKR,9 wickets,"Sep 20, 2021",T204307,,2021
Super Kings,Mumbai,Super Kings,20 runs,"Sep 19, 2021",T201256,,2021
Punjab Kings,Capitals,Capitals,7 wickets,"May 2, 2021",T208407,,2021
Royals,Sunrisers,Royals,55 runs,"May 2, 2021",T209103,,2021
Super Kings,Mumbai,Mumbai,4 wickets,"May 1, 2021",T203694,,2021
Punjab Kings,RCB,Punjab Kings,34 runs,"Apr 30, 2021",T208245,,2021
KKR,Capitals,Capitals,7 wickets,"Apr 29, 2021",T201595,,2021
Royals,Mumbai,Mumbai,7 wickets,"Apr 29, 2021",T209461,,2021
Sunrisers,Super Kings,Super Kings,7 wickets,"Apr 28, 2021",T205094,,2021
RCB,Capitals,RCB,1 run,"Apr 27, 2021",T208915,,2021
Punjab Kings,KKR,KKR,5 wickets,"Apr 26, 2021",T209997,,2021
Super Kings,RCB,Super Kings,69 runs,"Apr 25, 2021",T202915,,2021
KKR,Royals,Royals,6 wickets,"Apr 24, 2021",T205585,,2021
Mumbai,Punjab Kings,Punjab Kings,9 wickets,"Apr 23, 2021",T204808,,2021
Royals,RCB,RCB,10 wickets,"Apr 22, 2021",T201545,,2021
Super Kings,KKR,Super Kings,18 runs,"Apr 21, 2021",T202233,,2021
Punjab Kings,Sunrisers,Sunrisers,9 wickets,"Apr 21, 2021",T204912,,2021
Mumbai,Capitals,Capitals,6 wickets,"Apr 20, 2021",T207273,,2021
Super Kings,Royals,Super Kings,45 runs,"Apr 19, 2021",T209089,,2021
Punjab Kings,Capitals,Capitals,6 wickets,"Apr 18, 2021",T209593,,2021
RCB,KKR,RCB,38 runs,"Apr 18, 2021",T202791,,2021
Mumbai,Sunrisers,Mumbai,13 runs,"Apr 17, 2021",T201372,,2021
Punjab Kings,Super Kings,Super Kings,6 wickets,"Apr 16, 2021",T205292,,2021
Capitals,Royals,Royals,3 wickets,"Apr 15, 2021",T203570,,2021
RCB,Sunrisers,RCB,6 runs,"Apr 14, 2021",T202204,,2021
Mumbai,KKR,Mumbai,10 runs,"Apr 13, 2021",T209194,,2021
Punjab Kings,Royals,Punjab Kings,4 runs,"Apr 12, 2021",T207896,,2021
KKR,Sunrisers,KKR,10 runs,"Apr 11, 2021",T209178,,2021
Super Kings,Capitals,Capitals,7 wickets,"Apr 10, 2021",T206363,,2021
Mumbai,RCB,RCB,2 wickets,"Apr 9, 2021",T203784,,2021
Royals,Titans,Titans,7 wickets,"May 29, 2022",T202715,Titans,2022
RCB,Royals,Royals,7 wickets,"May 27, 2022",T201109,,2022
RCB,Super Giants,RCB,14 runs,"May 25, 2022",T207136,,2022
Royals,Titans,Titans,7 wickets,"May 24, 2022",T203302,,2022
Sunrisers,Punjab Kings,Punjab Kings,5 wickets,"May 22, 2022",T204029,,2022
Capitals,Mumbai,Mumbai,5 wickets,"May 21, 2022",T205729,,2022
